B1_ID,B1_Verification,B2_ID,B2_Verification
4,926295404211326976,False,997698480058654720,False
0,77609022,False,111346323,False
1,77609022,False,20785107,False
2,77609022,False,39070947,False
0,533144517,False,422429423,False
1,533144517,False,63474399,False
2,533144517,False,255787421,False
3,533144517,False,57242685,False
4,533144517,False,137729908,False
0,45733309,False,2783328325,False
1,45733309,False,820348159549284352,False
2,45733309,False,2149861842,False
3,45733309,False,16391486,False
4,45733309,False,3234508621,False
0,909148883288068096,False,1095603656219602944,False
1,909148883288068096,False,889625000,False
2,909148883288068096,False,552389879,False
3,909148883288068096,False,2183714957,False
4,909148883288068096,False,3901089557,False
0,781612473543557120,False,41560543,False
1,781612473543557120,False,1717330770,False
2,781612473543557120,False,248425034,False
3,781612473543557120,False,759201072397357056,False
4,781612473543557120,False,254564653,False
0,1015978156703043585,False,924081430757609472,False
1,1015978156703043585,False,43621399,False
2,1015978156703043585,False,807466248,False
3,1015978156703043585,False,739527852677312517,False
4,1015978156703043585,False,479659751,False
0,779872661786730496,False,911716650348683264,False
1,779872661786730496,False,1034839984048615425,False
2,779872661786730496,False,329889022,False
3,779872661786730496,False,119908745,False
4,779872661786730496,False,228484958,False
0,143199104,False,912123126,False
1,143199104,False,4832566456,False
2,143199104,False,3390960802,False
3,143199104,False,913806407761371136,False
4,143199104,False,748872810622246912,False
0,336537561,False,901415859767390208,False
1,336537561,False,1711382040,False
2,336537561,False,912187569961611264,False
3,336537561,False,96511879,False
4,336537561,False,1042060091187503105,False
0,871869822619066368,False,1099674870118563841,False
1,871869822619066368,False,3028821796,False
2,871869822619066368,False,21224021,False
3,871869822619066368,False,761876379197665280,False
4,871869822619066368,False,1088058222794153984,False
0,961702414561828865,False,1099467895858442240,False
1,961702414561828865,False,477921636,False
2,961702414561828865,False,93972122,False
3,961702414561828865,False,2908629346,False
4,961702414561828865,False,703644610661388288,False
0,1094252118821748736,False,1024678559061762048,False
1,1094252118821748736,False,132111956,False
2,1094252118821748736,False,1040115113473310721,False
3,1094252118821748736,False,980002095142264833,False
0,4735385897,True,2327204546,False
1,4735385897,True,333057674,False
2,4735385897,True,959285851875196928,False
3,4735385897,True,742078378593779713,False
4,4735385897,True,1091456014078169090,False
0,995772202032263168,False,23195603,False
1,995772202032263168,False,24493104,True
2,995772202032263168,False,1060146071672942592,False
3,995772202032263168,False,3344562192,False
4,995772202032263168,False,1247936395,False
0,803734267390005249,False,40098422,False
1,803734267390005249,False,994259411894857729,False
2,803734267390005249,False,956051641421189120,False
